name,mode,affinity_kcal_mol,dist_lb,dist_ub
gen_mol1040,2.0,-6.722,2.084,8.459
gen_mol1040,3.0,-6.69,2.33,3.291
gen_mol1040,4.0,-6.01,1.853,8.598
gen_mol1040,5.0,-5.982,1.699,8.703
gen_mol1040,6.0,-5.885,12.1,15.07
gen_mol1040,7.0,-5.853,2.619,8.436
gen_mol1040,8.0,-5.664,2.323,8.678
gen_mol1040,9.0,-5.434,5.891,9.316
gen_mol1041,1.0,-7.167,0.0,0.0
gen_mol1041,2.0,-7.058,2.222,7.114
gen_mol1041,3.0,-6.648,2.123,7.221
gen_mol1041,4.0,-6.422,2.6,8.589
gen_mol1041,5.0,-6.348,5.251,8.745
gen_mol1041,6.0,-6.232,2.608,7.65
gen_mol1041,7.0,-6.231,2.263,7.964
gen_mol1041,8.0,-6.188,1.417,1.897
gen_mol1041,9.0,-6.153,4.223,8.675
gen_mol1042,1.0,-5.447,0.0,0.0
gen_mol1042,2.0,-5.395,12.58,15.94
gen_mol1042,3.0,-5.29,2.146,7.86
gen_mol1042,4.0,-5.237,1.604,8.152
gen_mol1042,5.0,-5.156,12.17,15.69
gen_mol1042,6.0,-5.036,3.009,4.703
gen_mol1042,7.0,-4.996,2.029,8.711
gen_mol1042,8.0,-4.927,2.685,8.553
gen_mol1042,9.0,-4.896,2.467,4.237
gen_mol1043,1.0,-6.363,0.0,0.0
gen_mol1043,2.0,-6.268,1.857,2.84
gen_mol1043,3.0,-6.253,0.9388,1.174
gen_mol1043,4.0,-5.904,2.189,8.53
gen_mol1043,5.0,-5.773,1.524,8.587
gen_mol1043,6.0,-5.756,6.278,9.394
gen_mol1043,7.0,-5.692,6.209,9.501
gen_mol1043,8.0,-5.54,2.016,3.264
gen_mol1043,9.0,-5.524,2.572,8.695
gen_mol1044,1.0,-5.821,0.0,0.0
gen_mol1044,2.0,-5.605,1.482,2.101
gen_mol1044,3.0,-5.401,2.913,5.11
gen_mol1044,4.0,-5.301,2.151,7.481
gen_mol1044,5.0,-5.268,2.022,3.565
gen_mol1044,6.0,-5.029,2.213,3.297
gen_mol1044,7.0,-5.005,1.982,7.465
gen_mol1044,8.0,-4.832,4.028,7.062
gen_mol1044,9.0,-4.773,1.784,7.711
gen_mol1045,1.0,-5.199,0.0,0.0
gen_mol1045,2.0,-4.985,5.512,9.287
gen_mol1045,3.0,-4.95,1.296,1.764
gen_mol1045,4.0,-4.905,5.462,9.984
gen_mol1045,5.0,-4.86,5.356,8.3
gen_mol1045,6.0,-4.855,1.253,1.992
gen_mol1045,7.0,-4.795,5.498,7.827
gen_mol1045,8.0,-4.787,3.279,5.489
gen_mol1045,9.0,-4.601,5.202,8.43
gen_mol1046,1.0,-5.919,0.0,0.0
gen_mol1046,2.0,-5.803,6.391,9.448
gen_mol1046,3.0,-5.791,7.511,10.42
gen_mol1046,4.0,-5.712,5.641,8.214
gen_mol1046,5.0,-5.57,5.32,7.897
gen_mol1046,6.0,-5.435,7.438,9.704
gen_mol1046,7.0,-5.419,4.649,7.388
gen_mol1046,8.0,-5.412,1.189,2.046
gen_mol1046,9.0,-5.362,4.515,5.999
gen_mol1047,1.0,-6.711,0.0,0.0
gen_mol1047,2.0,-6.689,3.282,5.037
gen_mol1047,3.0,-6.522,3.983,7.898
gen_mol1047,4.0,-6.113,5.895,10.53
gen_mol1047,5.0,-6.004,3.004,5.648
gen_mol1047,6.0,-5.912,6.367,9.341
gen_mol1047,7.0,-5.838,5.092,10.01
gen_mol1047,8.0,-5.798,2.969,4.252
gen_mol1047,9.0,-5.614,3.802,8.07
gen_mol1048,1.0,-6.148,0.0,0.0
gen_mol1048,2.0,-5.904,1.441,1.871
gen_mol1048,3.0,-5.643,2.05,7.356
gen_mol1048,4.0,-5.575,2.791,7.835
gen_mol1048,5.0,-5.557,2.148,8.167
gen_mol1048,6.0,-5.34,1.878,4.67
gen_mol1048,7.0,-5.303,4.904,7.852
gen_mol1048,8.0,-5.295,4.865,8.192
gen_mol1048,9.0,-5.249,2.563,5.294
gen_mol1049,1.0,-6.772,0.0,0.0
gen_mol1049,2.0,-6.469,1.895,3.425
gen_mol1049,3.0,-6.237,1.955,8.423
gen_mol1049,4.0,-6.127,1.592,2.818
gen_mol1049,5.0,-6.123,1.508,8.622
gen_mol1049,6.0,-6.013,1.732,8.394
gen_mol1049,7.0,-5.971,1.867,2.306
gen_mol1049,8.0,-5.886,5.649,7.371
gen_mol1049,9.0,-5.8,1.879,2.16
gen_mol104,1.0,-6.156,0.0,0.0
gen_mol104,2.0,-6.077,1.447,1.898
gen_mol104,3.0,-5.836,3.364,8.156
gen_mol104,4.0,-5.784,2.411,3.052
gen_mol104,5.0,-5.745,2.689,7.398
gen_mol104,6.0,-5.721,7.423,10.81
gen_mol104,7.0,-5.62,16.61,18.81
gen_mol104,8.0,-5.592,1.836,6.582
gen_mol104,9.0,-5.465,13.99,16.88
gen_mol1050,1.0,-6.333,0.0,0.0
gen_mol1050,2.0,-6.157,2.041,8.008
gen_mol1050,3.0,-6.133,1.063,2.183
gen_mol1050,4.0,-5.916,11.16,15.26
gen_mol1050,5.0,-5.728,3.146,8.63
gen_mol1050,6.0,-5.712,2.286,7.942
gen_mol1050,7.0,-5.635,3.652,7.288
gen_mol1050,8.0,-5.549,4.201,7.887
gen_mol1050,9.0,-5.53,3.653,8.023
gen_mol1051,1.0,-7.319,0.0,0.0
gen_mol1051,2.0,-7.119,2.554,7.02
gen_mol1051,3.0,-7.006,5.443,9.041
gen_mol1051,4.0,-6.826,3.103,5.365
gen_mol1051,5.0,-6.699,6.73,10.36
gen_mol1051,6.0,-6.62,5.292,9.957
gen_mol1051,7.0,-6.307,4.66,9.139
gen_mol1051,8.0,-6.276,4.869,7.562
gen_mol1051,9.0,-6.231,3.167,5.875
gen_mol1052,1.0,-6.295,0.0,0.0
gen_mol1052,2.0,-6.283,1.399,1.975
gen_mol1052,3.0,-6.175,2.167,2.74
gen_mol1052,4.0,-6.163,2.488,3.93
gen_mol1052,5.0,-6.086,1.395,1.856
gen_mol1052,6.0,-5.752,2.831,4.407
gen_mol1052,7.0,-5.705,1.404,2.096
gen_mol1052,8.0,-5.602,5.37,8.853
gen_mol1052,9.0,-5.425,3.529,7.997
gen_mol1053,1.0,-6.343,0.0,0.0
gen_mol1053,2.0,-6.302,1.963,3.137
gen_mol1053,3.0,-6.094,1.688,7.478
gen_mol1053,4.0,-6.015,1.553,2.379
gen_mol1053,5.0,-5.933,2.386,6.718
gen_mol1053,6.0,-5.889,2.016,7.412
gen_mol1053,7.0,-5.765,1.525,7.613
gen_mol1053,8.0,-5.707,2.119,7.152
gen_mol1054,1.0,-6.004,0.0,0.0
gen_mol1054,2.0,-5.966,3.991,7.803
gen_mol1054,3.0,-5.896,1.634,2.31
gen_mol1054,4.0,-5.823,4.127,8.406
gen_mol1054,5.0,-5.802,3.955,7.787
gen_mol1054,6.0,-5.587,1.721,2.683
gen_mol1054,7.0,-5.542,5.476,8.849
gen_mol1054,8.0,-5.458,2.616,4.374
gen_mol1054,9.0,-5.318,6.368,9.247
gen_mol1055,1.0,-6.862,0.0,0.0
gen_mol1055,2.0,-6.834,1.278,1.825
gen_mol1055,3.0,-6.473,5.105,7.971
gen_mol1055,4.0,-6.134,1.159,2.074
gen_mol1055,5.0,-6.127,1.646,2.342
gen_mol1055,6.0,-6.053,1.939,7.314
gen_mol1055,7.0,-5.991,4.246,7.334
gen_mol1055,8.0,-5.9,4.999,9.544
gen_mol1055,9.0,-5.783,1.468,1.985
gen_mol1056,1.0,-6.56,0.0,0.0
gen_mol1056,2.0,-6.283,4.836,9.21
gen_mol1056,3.0,-5.944,2.52,5.33
gen_mol1056,4.0,-5.927,1.524,2.327
gen_mol1056,5.0,-5.877,3.263,7.747
gen_mol1056,6.0,-5.834,2.638,4.641
gen_mol1056,7.0,-5.773,2.896,6.619
gen_mol1056,8.0,-5.763,2.622,7.009
gen_mol1056,9.0,-5.739,5.141,6.712
gen_mol1057,1.0,-6.6,0.0,0.0
gen_mol1057,2.0,-6.583,1.936,8.394
